"","left30to50","left30to60","left30to70","right30to50","right30to60","right30to70"
"1",4,4,4,3,4,2
"2",4,4,4,2,1,3
"3",4,4,4,1,2,1
"4",1,3,2,1,1,1
"5",1,3,2,4,3,1
"6",1,1,2,3,4,2
"7",1,3,2,3,4,2
"8",4,1,4,2,1,3
"9",1,3,2,3,4,2
"10",4,1,4,1,1,1
"11",1,3,2,2,1,3
"12",4,4,4,1,1,3
"13",2,2,1,4,3,4
"14",2,2,1,4,3,4
"15",3,2,3,2,1,3
"16",3,2,3,2,1,3
"17",3,2,3,4,3,4
"18",3,2,3,2,1,3
"19",2,2,1,3,2,3
"20",2,2,1,4,3,4
"21",3,2,3,2,1,3
"22",3,2,3,1,2,3
"23",3,2,3,4,3,4
"24",2,2,1,4,3,4
"25",1,3,2,1,1,3
"26",1,3,2,2,1,3
"27",4,4,4,3,4,2
"28",3,2,3,1,1,1
"29",1,3,2,3,4,2
"30",4,4,4,1,2,1
"31",3,2,2,1,1,1
"32",1,3,2,3,2,2
"33",1,1,4,2,1,4
"34",2,2,1,4,3,1
"35",2,2,1,3,4,2
"36",1,3,2,2,1,3
"37",3,2,3,1,1,1
"38",3,2,3,3,4,2
"39",2,2,1,1,1,3
"40",3,2,3,1,1,3
"41",3,2,3,1,1,3
"42",3,2,3,2,1,3
"43",3,2,3,2,1,4
"44",2,2,1,1,1,1
"45",4,4,4,1,1,3
"46",2,2,1,1,2,1
"47",3,2,3,3,4,2
"48",2,2,1,1,2,3
"49",4,4,4,2,1,3
"50",1,3,2,4,3,4
"51",2,2,1,3,4,2
"52",1,3,2,2,1,3
"53",4,1,4,1,1,3
"54",1,3,2,1,1,3
"55",1,1,4,1,2,3
"56",4,4,4,1,2,3
"57",3,2,3,2,1,4
"58",3,2,3,1,2,3
"59",1,1,4,1,2,3
"60",4,4,4,1,2,1
"61",3,2,3,4,3,4
"62",3,2,3,1,2,1
"63",3,2,3,1,2,3
"64",3,2,3,1,2,3
"65",3,2,3,1,2,3
"66",3,2,3,1,2,3
"67",3,2,3,4,3,4
"68",2,2,1,4,3,4
"69",2,2,1,4,3,4
"70",2,2,1,4,3,4
"71",2,2,1,4,3,4
"72",2,2,1,3,4,1
"73",2,2,1,4,3,4
"74",3,2,3,3,2,2
"75",2,2,1,1,1,3
"76",2,2,1,3,2,3
"77",2,2,1,4,3,4
"78",2,2,1,4,3,4
"79",2,2,1,1,2,1
